<<<<<<< HEAD
ds,close,open,high,low,volume,daily_return,return_lag_1,return_lag_2,return_lag_3,return_lag_4,return_lag_5,momentum_5,momentum_21,momentum_63,momentum_accel_21,momentum_consistency_21,sma_21,ema_50,macd,macd_hist,macd_signal,rsi_14,stoch_k,stoch_d,volatility,rel_volatility,atr_14,obv,day_of_week,day_of_month,month,year,eua_return,china_return,europe_return,oil_return
2015-06-17,53249,53698,53755,52965,3090000.0,-0.0084,0.0106,-0.0039,-0.0064,-0.0035,0.0201,-0.011637835028584176,-0.05257632908689769,0.09009580740255485,0.009381085016405444,0.38095238095238093,53785.28571428572,53919.57585611795,-448.42856737354305,-4.093050737574117,-444.33551663596893,44.35667212107073,45.147845771726374,40.086734667342505,790,0.014915510242613046,889.081392418144,78500090.0,2,17,6,2015,0.0019796413026920145,0.016463823576514214,-0.008862678936046309,0.019798784011211046
2015-06-18,54239,53251,54352,53214,2750000.0,0.0186,-0.0084,0.0106,-0.0039,-0.0064,-0.0035,0.010244184097301101,-0.022703111767779616,0.07863179874714121,0.029873217319118073,0.42857142857142855,53725.28571428572,53932.102293132935,-359.4946503370593,67.87269303912774,-427.367343376187,51.52540703198037,66.85093302226278,51.30298505257869,1138,0.021385349719998496,906.8612929597051,81250090.0,3,18,6,2015,0.009902710578908236,-0.03674431199139394,0.002264733879167702,0.006106203395456866
2015-06-19,53749,54236,54236,53479,2950000.0,-0.009,0.0186,-0.0084,0.0106,-0.0039,-0.0064,0.007516682912199091,-0.020983224349283236,0.04314326747661368,0.0017198874184963797,0.42857142857142855,53670.42857142857,53924.921811049295,-324.80859396560845,82.04699952846289,-406.85559349407134,48.21445951598873,66.99842442945088,59.66573440781334,757,0.014155088913405263,896.3712006054404,78300090.0,4,19,6,2015,-0.0053035017498218595,-0.06415242465901172,0.003585679400712749,-0.019296633010344566
2015-06-22,53864,53750,54342,53655,2430000.0,0.0021,-0.009,0.0186,-0.0084,0.0106,-0.0039,0.013662539049267952,-0.022644796051676574,0.05711033481179095,-0.0016615717023933385,0.42857142857142855,53611.0,53922.53272041991,-284.7575971621627,97.67839706552695,-382.43599422768966,49.04207581925598,77.75314116777533,70.53416620649631,687,0.012804025719876991,881.416114847909,80730090.0,0,22,6,2015,0.006094866554531064,0.0,0.03505208395162929,0.005077748214849409
2015-06-23,53772,53865,54361,53772,2710000.0,-0.0017,0.0021,-0.009,0.0186,-0.0084,0.0106,0.0013034896279469077,-0.011126027548411965,0.034733580926357144,0.01151876850326461,0.42857142857142855,53582.19047619047,53916.62947648188,-257.47254157926363,99.97076211874082,-357.44330369800446,48.37599775749576,69.01189732200187,71.25448763974266,589,0.010953656177936472,860.5292495016297,78020090.0,1,23,6,2015,0.0006358685039113965,0.021911667523833334,0.012091777756930933,0.017524420476480618
2015-06-24,53843,53772,54236,53628,2820000.0,0.0013,-0.0017,0.0021,-0.009,0.0186,-0.0084,0.011155139063644404,-0.014026991887784113,0.03727749094551891,-0.0029009643393721474,0.42857142857142855,53545.71428571428,53913.74204603161,-227.49738359745243,103.9567360804416,-331.454119677894,48.95221781130135,70.62999467180653,72.46501105386123,608,0.011337361080032818,842.491445965799,80840090.0,2,24,6,2015,-0.00735329696164333,0.024835116107963406,-0.003925263437440374,-0.014895194960929725
2015-06-25,53176,53840,53840,52879,3330000.0,-0.0124,0.0013,-0.0017,0.0021,-0.009,0.0186,-0.019598443924113695,-0.0084654111504755,0.03242340698171087,0.0055615807373086135,0.42857142857142855,53524.09523809524,53884.810985402924,-254.62798764478066,61.46090562649073,-316.0888932712714,43.985202877668506,57.859900717043594,65.83393090361731,961,0.01817356606592409,851.1706283968134,77510090.0,3,25,6,2015,-0.0029735743006855664,-0.03461959577642926,-0.0002633997187188042,-0.004567662747844925
2015-06-26,54017,53181,54076,53151,2790000.0,0.0158,-0.0124,0.0013,-0.0017,0.0021,-0.009,0.00498613927700986,-0.004037908400324475,0.04163292066797797,0.0044275027501510245,0.42857142857142855,53513.666666666664,53889.9948683283,-205.8940963696732,88.15583752127856,-294.04993389095176,50.7682277318565,62.36440522154809,63.618100203466064,925,0.017403247351884255,856.4441549398982,80300090.0,4,26,6,2015,-0.0003900796440671206,-0.07396689985895444,0.002462322988645127,0.0009493284473016672
2015-06-29,53014,54013,54013,52647,2630000.0,-0.0186,0.0158,-0.0124,0.0013,-0.0017,0.0021,-0.015780484182385313,-0.017822736030828512,0.04812178726769467,-0.013784827630504037,0.42857142857142855,53467.857142857145,53855.642128393854,-245.37729726387624,38.93810930166046,-284.3154065655367,43.93506811378942,47.12263283691857,55.78231292517007,1366,0.025946397705472298,893.1267153013341,77670090.0,0,29,6,2015,-0.02086619391956246,-0.03335255229879941,-0.03515613938226103,-0.01975972230739864
2015-06-30,53081,53014,53345,52812,3110000.0,0.0013,-0.0186,0.0158,-0.0124,0.0013,-0.0017,-0.012850554191772723,0.006084154662623131,0.05960674718035741,0.023906890693451643,0.47619047619047616,53483.142857142855,53825.26400571174,-268.17037719793007,12.916023494085323,-281.0864006920154,44.47271183681724,45.3759882331311,51.62100876386591,533,0.010092403241687494,867.4033784940959,80780090.0,1,30,6,2015,0.0026584898861461426,0.0553146996324545,-0.014625174629141702,0.025479791546874297
