target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,adx,bb_upper,bb_lower,bb_position,z_score,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7
0.0,-873.0,-0.01767814835064696,-0.01767814835064696,-0.005779636005902589,-0.014705284965674137,-0.009272118290989284,-0.011898512344744372,0,0.015318765126266816,0.01584949227086607,0.9665145649129205,48508,49799.0,48510.0,49.5659887844777,50.78308423014097,1.2170954456632685,27.90056612412083,49931.71123635327,46981.68876364672,0.4265429324675002,-0.29382827012999896,101.83022398189496,34.39409430732045,67.43612967457452,18.730553827006844,55.03396085999977,1289.0,1.026571840857555,48625.992525758906,48604.89483549625,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,48510.0,48792.0,49301.0,47651.0
1.0,-270.0,-0.005565862708719838,-0.005565862708719838,-0.023145616912702782,-0.011313330054107285,-0.021520861645808353,0.017579754203982945,0,0.014981811898317082,0.014669072125721685,1.0213196697047402,48240,48762.0,47841.0,46.762535678111185,48.791290015948675,2.0287543378374906,25.41246127958553,49915.898167374246,47056.90183262576,0.8660725224721458,1.4642900898885862,63.96070218273235,40.31887607705405,23.641826105678298,20.20253164556962,39.6040892095701,921.0,1.0192512698313163,48928.33071558953,48774.143769285605,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,48240.0,49383.0,49234.0,48964.0
1.0,1293.0,0.026803482587064664,0.026803482587064664,0.021088435374149617,0.003037482534475444,0.006073038956818433,0.005715047212915048,1,0.02299672972847858,0.016752875624133044,1.3727034238439082,49546,49690.0,48240.0,59.196162187413485,57.40686792511635,-1.7892942622971333,23.719326393102488,50046.85568470289,47076.64431529711,1.1983509730538053,2.7934038922152173,126.87776562861836,57.657484183868036,69.22028144475033,86.414708886619,41.78259811973182,1450.0,1.0300580431177446,49497.55677896104,49113.48747740544,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,49533.0,48510.0,48792.0,49301.0
1.0,1103.0,0.022267982960854305,0.022267982960854305,0.04966832504145935,0.043826015254586626,0.03779308083292343,-0.027400342080605045,1,0.01752649535462785,0.015768899567279355,1.1114596348242034,50639,50726.0,49476.0,66.66721162986804,63.108834026939,-3.558377602929035,22.223678816350752,50386.290499968076,46899.10950003192,1.2562842307434818,3.0251369229739233,254.63306504087086,97.10142959459992,157.53163544627094,96.88041594454073,67.83255215890978,1250.0,1.0252647748403265,50091.706585005835,49508.18337082371,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,50636.0,48240.0,49383.0,49234.0
1.0,644.0,0.012718224188324578,0.012718224188324578,0.03526941634869685,0.06301824212271967,0.03841402911933267,-0.02255119216037227,1,0.007189844152600927,0.015622027981757743,0.46023756717096515,51281,51868.0,50639.0,70.2456529463372,65.9730338980005,-4.272619048336708,22.42162597815113,50870.39476864629,46767.20523135371,1.1032380365332126,2.412952146132848,398.5639109012627,157.45369584541524,241.11021505584748,85.39855972187733,89.56456151767902,1229.0,1.0242698315527559,50492.47198557263,49833.40620564329,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,51280.0,49533.0,48510.0,48792.0
0.0,14.0,0.0002730109204367448,0.0002730109204367448,0.01299470732285335,0.035552056204954274,0.05739022881880018,-0.012721696402416605,1,0.0110292038165006,0.014026689919094911,0.7863012499824529,51301,51638.0,50870.0,70.32356929831406,66.03477044639337,-4.2887988519206885,23.819591437158316,51267.63519241063,46711.664807589375,0.9934953061790391,1.9739812247161534,507.44338422702276,227.50713557481234,279.93624865221045,85.74621306183263,89.34172957608355,768.0,1.015097306860625,50740.98170771562,50089.12715522238,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,51294.0,50636.0,48240.0,49383.0
1.0,-56.0,-0.0010917456232697464,-0.0010917456232697464,-0.0008190327613104564,0.011888774784738043,0.06214759535655068,-0.00027271286195929,0,0.007609874724154429,0.014118211952846033,0.5390112253287418,51238,51450.0,50711.0,69.50453173150912,65.52266973891275,-3.9818619925963645,25.050541701331003,51580.16616527046,46600.53383472954,0.9399220373288163,1.759688149315265,582.5362391293165,298.5579901149154,283.9782490144011,82.63506063947078,84.5932778077269,739.0,1.0145727751375442,50920.98799057582,50306.06748403343,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,51238.0,51280.0,49533.0,48510.0
1.0,43.0,0.0008392208907450627,0.0008392208907450627,-0.00025344094825907604,1.9500780031211917e-05,0.03528960490985811,0.0010926618390041387,0,0.0009926215989583848,0.014043274779773292,0.07068305751505129,51288,51690.0,50861.0,69.80828686344577,65.74235721118555,-4.065929652260223,25.79988850736907,51855.77713017644,46508.72286982356,1.0034080203671545,2.0136320814686175,637.7279435199671,366.42639416517807,271.301549354789,75.45986622073579,81.28037997401306,829.0,1.0162993256129451,51238.65887854801,50591.40027647335,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51281.0,51294.0,50636.0,48240.0
0.0,593.0,0.011563737056609735,0.011563737056609735,0.012412662477067737,0.011307365383865564,0.02444900861047472,-0.0008489254204580021,1,0.006817931266531266,0.013393747044796327,0.5090383776644591,51863,51956.0,51049.0,73.84946227089719,68.70399215739371,-5.145470113503478,26.726484929166027,52259.03342585114,46415.36657414885,0.9233300875595555,1.6933203502382221,717.9231910852977,436.75428192972606,281.16890915557167,93.77372817008353,83.95621834343002,907.0,1.01776724323689,51429.43933971245,50813.30740119319,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,51874.0,51238.0,51280.0,49533.0
0.0,-63.0,-0.0012144812430119334,-0.0012144812430119334,0.010335211871843386,0.011183106288301659,0.010354914196567755,-0.01154969311485532,0,0.00686192152824649,0.013405772404312396,0.5118631975311719,51812,51863.0,51051.0,72.68664111673178,68.03108985047555,-4.655551266256225,27.831400700160135,52596.27137450112,46401.52862549888,0.8651644776313505,1.460657910525403,767.6497765115491,502.9548641632885,264.69491234826063,88.35341365461848,85.86233601514591,812.0,1.0159056629644865,51539.9595935421,50985.717949796206,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,51811.0,51281.0,51294.0,50636.0
0.0,-50.0,-0.00096504603269576,-0.00096504603269576,-0.0021783552454023303,0.009360191883933666,0.009104378679767544,0.0012133092127065703,0,0.0073065665276265705,0.011127585959077972,0.6566173970254362,51760,51922.0,51181.0,71.67892307146468,67.46632038719565,-4.212602684269029,28.820956333171306,52881.01316733748,46433.786832662525,0.7986710718752952,1.1946842875011794,793.9469013228736,561.1683846891932,232.7785166336804,84.33734939759036,88.82149707409746,741.0,1.014478028956058,51554.3063986141,51094.367691829524,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,51761.0,51874.0,51238.0,51280.0
