target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7
1.0,-547.0,-0.008848412300425434,-0.008848412300425434,-0.02107331725008388,-0.008623897742901065,0.03717245581962225,0.012224904949658444,0,0.01356963674820399,0.01977283525559358,0.6862767313233566,61292,61803.0,60717.0,66.4796003083562,64.49413801210474,-1.9854622962514554,769.9067785479419,584.5109064467941,185.3958721011478,89.79000724112962,73.81357588355996,1086.0,1.0178862592025297,61820.926646402004,61098.90074577379,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,61272.0,62591.0,60643.0,58965.0
0.0,1529.0,0.024954302128215256,0.024954302128215256,0.015885083873889982,0.003355114952628968,0.0355853107530959,0.009069218254325273,1,0.020596090629198278,0.02022822223273018,1.0181858985053502,62801,62883.0,61292.0,62.5158617376594,61.79580842590661,-0.7200533117527925,789.3257568502522,625.9516558388974,163.3741010113548,64.05583559519194,69.76326846731529,1591.0,1.0259577106310775,61979.66550159119,61320.746072720896,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,62801.0,61819.0,61805.0,59076.0
1.0,-504.0,-0.008025349914810298,-0.008025349914810298,0.016728685206946148,0.00773225060256566,0.00796052099344724,-0.024754035121756446,0,0.01928280055435366,0.019155022246104984,1.006670747055627,62292,63590.0,62180.0,68.57934081483847,66.17983004840255,-2.399510766435924,890.7999376695007,679.4144191612585,211.38551850824217,105.4646710755308,86.43683797061745,1410.0,1.022676101640399,62568.89513321909,61768.5036266481,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,62297.0,61272.0,62591.0,60643.0
1.0,1450.0,0.023275599146026282,0.023275599146026282,0.015063454403592358,0.04039365452408927,0.018469108977329007,0.008212144742433924,1,0.018575184632059243,0.015156271976858149,1.225577415107183,63748,63780.0,61634.0,68.75579859635293,66.3090424571641,-2.4467561391888353,961.7665539669615,736.3046217251986,225.46193224176295,100.39177277179236,89.9707598141717,2146.0,1.0348184443651232,62976.65125501363,62140.91733826511,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,63747.0,62801.0,61819.0,61805.0
1.0,45.0,0.0007059155724975508,0.0007059155724975508,0.0239979453264203,0.015780003503129025,0.03191575405619629,-0.02329202975392275,1,0.016152270355010757,0.015112851837763277,1.0687771261444006,63780,64631.0,63620.0,71.97091372081253,68.65083611414741,-3.320077606665123,1060.9079494710168,801.610786830887,259.2971626401297,99.43791517629025,101.76478634120447,1011.0,1.015891229173216,63520.81599102591,62594.14567911508,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,63792.0,62297.0,61272.0,62591.0
1.0,817.0,0.01280724855781279,0.01280724855781279,0.013522204966508244,0.0371125415349054,0.05446207076641851,-0.0007149564086954552,1,0.011294683414985155,0.015015930890415499,0.752180034485536,64605,64609.0,63360.0,73.44585894053128,69.73772594326608,-3.7081329972651957,1152.3355371038197,872.0885587533879,280.24697835043173,111.08116202455825,103.63694999088028,1249.0,1.0197127525252525,64014.23997164344,63035.32840148925,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,64609.0,63747.0,62801.0,61819.0
1.0,392.0,0.006067266170347807,0.006067266170347807,0.018952219714070795,0.019671513953597897,0.03503128931067967,-0.012884953543722988,1,0.006063740633716255,0.01371440294755856,0.4421439749803853,64994,65013.0,64060.0,74.15619084116277,70.25339021651678,-3.902800624645991,1222.5334780758349,942.4433354493804,280.0901426264545,105.03107428233206,105.18338382772686,953.0,1.014876678114268,64403.84207683474,63428.41872824667,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,65001.0,63792.0,62297.0,61272.0
1.0,182.0,0.002799956923739577,0.002799956923739577,0.008884211178009194,0.021805242036619044,0.04632646836926346,-0.0060842542542696165,1,0.005103080085361927,0.013069522113848112,0.39045651714800206,65178,65399.0,63983.0,75.42406136018907,71.16062403628563,-4.263437323903446,1284.7594466841474,1011.1141023542439,273.64534432990354,102.54980079681275,106.22067903456768,1416.0,1.0221308785146055,64767.570987515755,63806.20885349113,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,65183.0,64609.0,63747.0,62801.0
1.0,312.0,0.004786524093705502,0.004786524093705502,0.007599883078721836,0.013713259762571761,0.027420898238348368,-0.0028133589850163343,1,0.0016463119945625776,0.01281511132690392,0.12846646061562697,65495,65968.0,64647.0,75.68216402108115,71.34163898601159,-4.340525035069561,1322.4825305332997,1073.5387214576824,248.9438090756173,84.16411042944786,97.24832850286423,1321.0,1.0204340495305273,65030.05194492361,64125.58749279948,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,65495.0,65001.0,63792.0,62297.0
0.0,60.0,0.0009161004656843552,0.0009161004656843552,0.0057070094963411755,0.008522945800833792,0.027636694256333083,-0.00479090903065682,1,0.0019354389396934737,0.01148329970702172,0.16854379743393846,65553,66005.0,65248.0,53.79620445294074,57.87187744973862,4.075672996797877,1188.7536282867877,1096.626360812832,92.12726747395573,4.877126654064273,63.86367929344163,757.0,1.0116018881804807,64516.3619356624,64009.42274253786,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65555.0,65183.0,64609.0,63747.0
1.0,-2066.0,-0.0315155213179773,-0.0315155213179773,-0.03062829223604857,-0.025988371201079996,-0.017335046200993687,-0.000887229081928731,0,0.019935850335725612,0.01605480956822815,1.2417369543378387,63496,65553.0,63482.0,60.08746468259191,61.64995720222292,1.5624925196310144,1142.7482046803125,1105.865025727838,36.88317895247451,39.95243757431629,42.997891552609474,2071.0,1.0326234208121987,64507.57455503439,64097.060643434976,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,63489.0,65495.0,65001.0,63792.0
0.0,1001.0,0.015766510734142924,0.015766510734142924,-0.016245900388986323,-0.015344682800213727,-0.00786141751665359,0.03201241112312925,0,0.024179658570920536,0.014925024017427213,1.6200750191548867,64486,64644.0,63159.0,53.28662265564557,57.05864204866272,3.772019393017146,1032.996917693803,1091.273340489634,-58.27642279583097,17.463106113843992,20.764223447408185,1485.0,1.0235120885384505,64223.71488966779,64016.67250616645,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,64490.0,65555.0,65183.0,64609.0
1.0,-834.0,-0.012932237556210313,-0.012932237556210313,0.002630376915686128,-0.028968042102051728,-0.023426353497077446,-0.015562614471896441,0,0.023820674296995085,0.015392301153199891,1.5475707017363696,63653,64530.0,62745.0,59.32845645036786,60.732861191340156,1.4044047409722964,1006.4720563703013,1074.2962703899063,-67.82421401960505,57.79141104294479,38.40231824370169,1785.0,1.0284484819507531,64358.8103961358,64128.22651045799,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,63656.0,63489.0,65495.0,65001.0
0.0,973.0,0.015285283398265737,0.015285283398265737,0.0021553729260350707,0.017955866370552354,-0.013222383388044934,0.013129910472230666,1,0.016432073423633765,0.014352886389172544,1.1448619447047048,64631,65045.0,63653.0,47.56380024678027,52.5081059533766,4.944305706596332,852.3525414846081,1029.8723283358406,-177.51978685123254,7.0552147239263805,27.43657729357172,1392.0,1.0218685686456255,63897.53919494692,63918.20741398826,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,64629.0,64490.0,65555.0,65183.0
0.0,-1654.0,-0.02559222639991332,-0.02559222639991332,-0.0106981274349629,-0.023492014265777628,-0.03935626573106554,-0.01489409896495042,0,0.02092635743760807,0.016721911929317015,1.251433300573709,62973,64676.0,62975.0,41.38475695397941,47.838565048838134,6.453808094858722,640.0691555312515,951.8622490129841,-311.7930934817326,-31.232193732193732,11.204810678225812,1701.0,1.0270107185391029,63221.02508460598,63544.94577147952,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,62975.0,63656.0,63489.0,65495.0
0.0,-1107.0,-0.017578404128622438,-0.017578404128622438,-0.04272076003032699,-0.028088475556114156,-0.025531981918127555,0.02514235590170455,0,0.021661079199649817,0.016662282072403767,1.3000067521078105,61869,62973.0,61382.0,33.19408403268034,41.18000144456314,7.985917411882802,327.5413532664388,826.93472408289,-499.39337081645124,-37.75593775593776,-20.64430558806837,1591.0,1.025919650711935,62147.01561668815,62899.52571263549,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,61868.0,64629.0,64490.0,65555.0
