ds,close,target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,adx,bb_upper,bb_lower,bb_position,z_score,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7,daily_return
2015-07-01,52758,0.0,67.0,0.0012638171049157432,0.0012638171049157432,-0.017327878260547602,-0.0017865202346923903,-0.012850554191772723,0.018591695365463345,0,0.01725926341467101,0.011764001970519933,1.4671251720224086,53081,53345.0,52812.0,43.15660399837346,44.47271183681724,1.3161078384437772,14.278211296641174,54413.56075584133,52597.93924415867,0.08815755641328163,-1.6473697743468763,-268.17037719793007,-281.0864006920217,12.916023494091633,27.312775330396477,41.837600490201844,533.0,1.0100924032416876,53155.07004075509,53349.925629939746,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,53081.0,54017.0,53843.0,53864.0,-0.0061
2015-07-02,53106,1.0,-323.0,-0.006085039844765494,-0.006085039844765494,-0.004828913117289724,-0.023307477275672506,-0.02015118028341656,-0.0012561267274757704,0,0.010026180160619305,0.011623808814831202,0.8625554945317554,52758,53456.0,52603.0,39.84239447437756,42.36355867179771,2.5211641974201484,14.486977830589362,54329.94301475855,52533.756985241445,0.31858783297206617,-0.7256486681117327,-308.7385124488501,-286.6168230433874,-22.12168940546269,10.522742701968772,19.749140005343037,853.0,1.0162158051822139,53138.713360503396,53305.575515405246,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,52758.0,53014.0,53176.0,53772.0,0.0066
2015-07-03,52519,0.0,348.0,0.006596156033208178,0.006596156033208178,0.000470978316158277,0.0017353906515260586,-0.0013163833308259543,0.006125177717049901,1,0.0063672634861006725,0.009881067201177837,0.6443902623536135,53106,53357.0,52758.0,44.96510790521831,45.369700673582514,0.40459276836420344,14.981221549738786,54319.484915728106,52502.515084271894,0.009072751480355697,-1.963708994078583,-309.2435926317776,-291.14217696106545,-18.10141567071213,34.147997284453496,23.99450510560622,599.0,1.0113537283445164,52932.142240335605,53162.561785331556,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,53106.0,53081.0,54017.0,53843.0,-0.0111
2015-07-06,52149,0.0,-587.0,-0.011053364968176882,-0.011053364968176882,-0.004530118654990756,-0.010587592547239177,-0.027732010293055942,-0.006523246313186126,0,0.009101305538271036,0.01005835748673144,0.9048500761955511,52510,53106.0,52370.0,38.70988511618136,41.44317126363161,2.733286147450251,15.440162146091819,54363.130857123564,52413.46914287644,-0.13564873380024733,-2.5425949352009907,-352.94137804424827,-303.50201717770204,-49.439360866546224,9.068776628119293,17.91317220484716,736.0,1.0140538476226848,52671.09482689041,52978.27782436218,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,52519.0,52758.0,53014.0,53176.0,-0.007
2015-07-07,52344,1.0,-370.0,-0.007045069403453952,-0.007045069403453952,-0.01802056264828833,-0.011543273058114423,-0.016316444712717426,0.010975493244834378,0,0.009252522685969993,0.010030600322356371,0.9224296042728185,52149,52679.0,51683.0,35.23414697789845,39.143574299984635,3.909427322086188,16.424560297195217,54450.069355443135,52260.430644556865,0.03816581933250046,-1.8473367226700002,-412.67108025579364,-325.3358297933204,-87.33525046247325,26.28313592780598,23.16663661345956,996.0,1.0192713271288432,52562.063217926945,52862.95458356906,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52149.0,53106.0,53081.0,54017.0,0.0037
2015-07-08,51782,0.0,195.0,0.0037392855088305144,0.0037392855088305144,-0.0033321274205525553,-0.014348661168229526,-0.013884440760347339,0.00707141292938307,0,0.007650612746083236,0.010264909883070689,0.745317088336152,52343,52388.0,51130.0,38.50778541064406,41.00162004912371,2.4938346384796475,18.1365798213917,54493.69778867231,52169.60221132769,-0.16677550403092492,-2.6671020161237,-439.2094956038127,-348.11056295541886,-91.09893264839383,52.19260533104041,29.181505962321864,1258.0,1.0246039507138667,52302.04214528463,52666.4173865565,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,52344.0,52519.0,52758.0,53014.0,-0.0107
2015-07-10,52591,1.0,-562.0,-0.010736665138315726,-0.010736665138315726,-0.007037527085850148,-0.014033016622555627,-0.01849956404715869,-0.003699138052465578,0,0.0075220047979507685,0.01045433733923012,0.7195104341739851,51782,52468.0,51574.0,33.08556247453552,37.45252633190451,4.366963857368987,20.221080991259317,54548.83405813759,51905.065941862405,0.2594531849881033,-0.9621872600475884,-499.82837377557007,-378.45412511944915,-121.37424865612093,29.277054333183656,35.917598530676656,894.0,1.0173343157404895,52398.36143018975,52652.70513445532,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51782.0,52149.0,53106.0,53081.0,0.0156
2015-07-13,53119,1.0,809.0,0.015623189525317605,0.015623189525317605,0.004718783432676066,0.008475713820015773,-0.00969758596015513,0.010904406092641539,1,0.01320115057927118,0.011601107314814112,1.1379215984334428,52591,52786.0,51782.0,45.51078339686792,44.85263513548526,-0.6581482613826637,21.965757287643722,54504.298194831594,51839.80180516841,0.4800900462069273,-0.07963981517229053,-477.0901344654121,-398.1813269886418,-78.90880747677033,73.93724696356276,51.80230220926225,1004.0,1.0193889768645474,52638.57428679316,52737.4860190998,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,52591.0,52344.0,52519.0,52758.0,0.01
2015-07-14,53239,1.0,528.0,0.010039740640033434,0.010039740640033434,0.0258197829361555,0.014805899434510161,0.011424436870465904,-0.015780042296122065,1,0.013890499609499654,0.010783387414543287,1.288138789372056,53119,53164.0,52591.0,52.04847770806105,49.08644939618096,-2.96202831188009,22.855381981997006,54490.41508805605,51830.78491194395,0.5294777825519367,0.11791113020774642,-411.7186918780644,-400.8887999665264,-10.829891911538027,97.78761061946902,67.00063730540512,573.0,1.0108954003536728,52838.71619119544,52828.670379263465,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,53119.0,51782.0,52149.0,53106.0,0.0023
2015-07-15,52902,0.0,120.0,0.002259078672414816,0.002259078672414816,0.01232149987640474,0.028137190529527567,0.020901647203206197,-0.010062421203989924,1,0.006712091837343355,0.009012763628038156,0.7447318174929661,53239,53416.0,52653.0,53.47570675659447,50.02549682604831,-3.4502099305461584,22.877643694809148,54495.87076125908,51835.42923874092,0.40089990786549906,-0.3964003685380045,-346.2371492027596,-389.9584698137731,43.72132061101348,92.25721784776903,87.99402514360024,763.0,1.0144911021214367,52859.810794130295,52842.003037579205,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,53239.0,52591.0,52344.0,52519.0,-0.0063
